Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
199,Randal Hill,1991,1997,7,TOT,NFL,103,60,432,262,3849,14.69,14,37.4,,
200,Tim McGee,1989,1994,6,TOT,NFL,91,76,193,246,3833,15.58,20,42.1,,
201,Davone Bess,2008,2013,6,TOT,NFL,91,36,589,363,3809,10.49,14,41.9,61.60%,6.47
202,Floyd Turner,1989,1998,10,TOT,NFL,114,46,313,281,3805,13.54,31,33.4,,
203,Harry Douglas,2008,2017,10,TOT,NFL,118,40,516,310,3759,12.13,10,31.9,60.10%,7.28
204,Ashley Lelie,2002,2008,7,TOT,NFL,107,59,463,217,3749,17.28,15,35,46.90%,8.1
205,Mark Ingram,1989,1996,8,TOT,NFL,112,80,316,250,3736,14.94,25,33.4,,
206,Willie Green,1991,1998,8,TOT,NFL,114,53,382,237,3720,15.7,26,32.6,,
207,Stefon Diggs,2015,2019,5,MIN,NFL,59,52,459,315,3702,11.75,25,62.7,68.60%,8.07
208,Reggie Langhorne,1989,1993,5,TOT,NFL,74,63,276,294,3688,12.54,10,49.8,,
209,Justin McCareins,2001,2008,8,TOT,NFL,114,67,483,240,3676,15.32,16,32.2,49.70%,7.61
210,Patrick Crayton,2004,2011,8,TOT,NFL,105,36,392,247,3650,14.78,25,34.8,63.00%,9.31
211,James Thrash,1997,2008,12,TOT,NFL,165,71,524,290,3646,12.57,22,22.1,55.30%,6.96
212,Willie Jackson,1995,2002,8,TOT,NFL,113,40,515,284,3641,12.82,24,32.2,55.10%,7.07
213,James McKnight,1994,2003,10,TOT,NFL,122,49,423,222,3595,16.19,18,29.5,52.50%,8.5
214,Sidney Rice,2007,2013,7,TOT,NFL,81,57,421,243,3592,14.78,30,44.3,57.70%,8.53
215,Josh Reed,2002,2009,8,BUF,NFL,115,52,513,311,3575,11.5,10,31.1,60.60%,6.97
216,John Brown,2014,2019,6,TOT,NFL,76,46,462,238,3545,14.89,23,46.6,51.50%,7.67
217,Mark Jackson,1989,1994,6,TOT,NFL,90,68,229,232,3525,15.19,20,39.2,,
218,Cole Beasley,2012,2019,8,TOT,NFL,107,25,486,343,3517,10.25,23,32.9,70.60%,7.24
219,Alvin Harper,1991,1999,9,TOT,NFL,102,66,394,191,3473,18.18,21,34,,
220,Mark Clayton,2005,2011,7,TOT,NFL,83,65,491,260,3448,13.26,14,41.5,53.00%,7.02
221,J.J. Birden,1990,1996,7,TOT,NFL,93,62,377,244,3441,14.1,17,37,,
222,Mark Clayton,1989,1993,5,TOT,NFL,70,69,139,241,3420,14.19,30,48.9,,
223,Don Beebe,1989,1997,9,TOT,NFL,116,51,316,219,3416,15.6,23,29.4,,
224,Curtis Duncan,1989,1993,5,OTI,NFL,76,61,190,287,3396,11.83,14,44.7,,
225,Steve Breaston,2007,2012,6,TOT,NFL,86,43,409,255,3387,13.28,9,39.4,62.30%,8.28
226,Terrance Williams,2013,2018,6,DAL,NFL,83,68,375,232,3377,14.56,20,40.7,61.90%,9.01
227,Mark Duper,1989,1992,4,MIA,NFL,63,61,96,215,3374,15.69,18,53.6,,
228,Jerome Pathon,1998,2005,8,TOT,NFL,100,62,480,260,3350,12.88,15,33.5,54.20%,6.98
229,Corey Bradford,1998,2006,9,TOT,NFL,114,50,463,215,3346,15.56,25,29.4,46.40%,7.23
230,Devin Hester,2006,2016,11,TOT,NFL,156,47,449,255,3311,12.98,16,21.2,56.80%,7.37
231,Andre Hastings,1993,2000,8,TOT,NFL,104,51,499,266,3307,12.43,18,31.8,53.30%,6.63
232,Kevin Curtis,2003,2010,8,TOT,NFL,81,36,424,253,3297,13.03,20,40.7,59.70%,7.78
233,Jermaine Kearse,2012,2018,7,TOT,NFL,99,74,449,255,3290,12.9,17,33.2,56.80%,7.33
234,Chris Sanders,1995,2001,7,OTI,NFL,97,55,403,177,3285,18.56,17,33.9,43.90%,8.15
235,Lawrence Dawsey,1991,1999,9,TOT,NFL,83,45,331,240,3271,13.63,6,39.4,,
236,Tyreek Hill,2016,2019,4,KAN,NFL,48,31,327,225,3271,14.54,25,68.1,68.80%,10
237,Jordan Matthews,2014,2018,5,TOT,NFL,70,46,410,270,3255,12.06,22,46.5,65.90%,7.94
238,Oronde Gadsden,1998,2003,6,MIA,NFL,74,55,400,227,3252,14.33,22,43.9,56.80%,8.13
239,Vincent Brisby,1993,2000,8,TOT,NFL,86,46,501,221,3202,14.49,14,37.2,44.10%,6.39
240,Mike Sherrard,1989,1996,8,TOT,NFL,89,42,314,216,3187,14.75,17,35.8,,
241,Rod Gardner,2001,2006,6,TOT,NFL,91,62,498,242,3165,13.08,23,34.8,48.60%,6.36
242,Tyler Lockett,2015,2019,5,SEA,NFL,68,44,312,224,3160,14.11,22,46.5,71.80%,10.13
243,Rishard Matthews,2012,2018,7,TOT,NFL,87,38,374,230,3160,13.74,21,36.3,61.50%,8.45
244,Ernie Jones,1989,1993,5,TOT,NFL,67,38,86,192,3134,16.32,17,46.8,,
245,Travis Benjamin,2012,2019,8,TOT,NFL,99,37,392,206,3130,15.19,19,31.6,52.60%,7.98
246,Jeremy Kerley,2011,2018,8,TOT,NFL,99,40,461,270,3116,11.54,13,31.5,58.60%,6.76
247,Brian Finneran,1999,2010,12,TOT,NFL,129,38,413,238,3093,13,19,24,57.60%,7.49
248,Mike Williams,2010,2014,5,TOT,NFL,63,52,438,223,3089,13.85,26,49,50.90%,7.05
249,Vance Johnson,1989,1995,7,DEN,NFL,73,45,121,223,3031,13.59,20,41.5,,
250,Kelvin Benjamin,2014,2018,5,TOT,NFL,61,52,408,209,3021,14.45,20,49.5,51.20%,7.4
251,Allen Hurns,2014,2019,6,TOT,NFL,71,50,375,212,3005,14.17,23,42.3,56.50%,8.01
